antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Yoga'}),frozenset({'Pilates'}),0.09,0.095,0.019,0.2111111111111111,2.2222222222222223,1.0,0.01045,1.1471830985915494,0.6043956043956044,0.1144578313253012,0.12829957028852057,0.20555555555555555
frozenset({'Pilates'}),frozenset({'Yoga'}),0.095,0.09,0.019,0.19999999999999998,2.2222222222222223,1.0,0.01045,1.1375,0.6077348066298343,0.1144578313253012,0.12087912087912087,0.20555555555555555
frozenset({'BodyPump'}),frozenset({'Pilates'}),0.112,0.095,0.017,0.1517857142857143,1.5977443609022557,1.0,0.006360000000000001,1.0669473684210526,0.42130365659777425,0.08947368421052632,0.06274664561957381,0.16536654135338347
frozenset({'Pilates'}),frozenset({'BodyPump'}),0.095,0.112,0.017,0.17894736842105263,1.5977443609022557,1.0,0.006360000000000001,1.0815384615384616,0.41338966525836857,0.08947368421052632,0.07539118065433854,0.16536654135338347
frozenset({'HIT'}),frozenset({'Kickboxen'}),0.097,0.085,0.017,0.1752577319587629,2.061855670103093,1.0,0.008755,1.1094375,0.5703211517165006,0.10303030303030306,0.09864233000957694,0.18762886597938144
frozenset({'Kickboxen'}),frozenset({'HIT'}),0.085,0.097,0.017,0.2,2.061855670103093,1.0,0.008755,1.12875,0.5628415300546448,0.10303030303030306,0.11406423034330011,0.18762886597938144
frozenset({'XCore'}),frozenset({'Spinning'}),0.09,0.085,0.016,0.17777777777777778,2.0915032679738563,1.0,0.00835,1.1128378378378379,0.573489010989011,0.10062893081761008,0.10139647844565877,0.18300653594771243
frozenset({'XCore'}),frozenset({'BodyPump'}),0.09,0.112,0.016,0.17777777777777778,1.5873015873015874,1.0,0.00592,1.08,0.4065934065934066,0.08602150537634409,0.07407407407407408,0.1603174603174603
frozenset({'Spinning'}),frozenset({'XCore'}),0.085,0.09,0.016,0.18823529411764706,2.0915032679738563,1.0,0.00835,1.1210144927536232,0.5703551912568305,0.10062893081761008,0.107950872656755,0.18300653594771243
frozenset({'BodyPump'}),frozenset({'XCore'}),0.112,0.09,0.016,0.14285714285714285,1.5873015873015872,1.0,0.00592,1.0616666666666665,0.41666666666666663,0.08602150537634409,0.05808477237048665,0.1603174603174603
frozenset({'Kickboxen'}),frozenset({'LesMiles'}),0.085,0.099,0.016,0.18823529411764706,1.9013666072489601,1.0,0.007585,1.1099275362318841,0.5181010928961748,0.09523809523809525,0.09904028203956387,0.17492572786690433
frozenset({'LesMiles'}),frozenset({'Kickboxen'}),0.099,0.085,0.016,0.1616161616161616,1.90136660724896,1.0,0.007585,1.0913855421686747,0.5261514983351832,0.09523809523809525,0.08373350996301814,0.17492572786690433
frozenset({'Zumba'}),frozenset({'BodyPump'}),0.081,0.112,0.016,0.19753086419753085,1.763668430335097,1.0,0.006928,1.1065846153846153,0.471164309031556,0.09039548022598871,0.0963185407629852,0.17019400352733685
frozenset({'BodyPump'}),frozenset({'Zumba'}),0.112,0.081,0.016,0.14285714285714285,1.763668430335097,1.0,0.006928,1.0721666666666667,0.48761261261261263,0.09039548022598871,0.067309187004508,0.17019400352733685
frozenset({'BodyPump'}),frozenset({'Yoga'}),0.112,0.09,0.015,0.13392857142857142,1.4880952380952381,1.0,0.004919999999999999,1.0507216494845362,0.3693693693693693,0.08021390374331551,0.048273155416012556,0.15029761904761904
frozenset({'Yoga'}),frozenset({'BodyPump'}),0.09,0.112,0.015,0.16666666666666666,1.488095238095238,1.0,0.004919999999999999,1.0655999999999999,0.3604395604395603,0.08021390374331551,0.06156156156156155,0.15029761904761904
frozenset({'HIT'}),frozenset({'LesMiles'}),0.097,0.099,0.015,0.15463917525773194,1.5620118712902216,1.0,0.005396999999999999,1.0658170731707317,0.39844961240310073,0.08287292817679558,0.061752691739991046,0.15307716338644173
frozenset({'LesMiles'}),frozenset({'HIT'}),0.099,0.097,0.015,0.1515151515151515,1.5620118712902216,1.0,0.005396999999999999,1.06425,0.39933407325194226,0.08287292817679558,0.060371153394409176,0.15307716338644173
frozenset({'LesMiles'}),frozenset({'Running'}),0.099,0.082,0.015,0.1515151515151515,1.8477457501847743,1.0,0.006881999999999999,1.0819285714285714,0.5092119866814651,0.09036144578313254,0.07572456592064432,0.16722099039172209
frozenset({'Running'}),frozenset({'LesMiles'}),0.082,0.099,0.015,0.18292682926829268,1.8477457501847745,1.0,0.006881999999999999,1.1027164179104476,0.4997821350762527,0.09036144578313254,0.09314853414904847,0.16722099039172209
frozenset({'BodyPump'}),frozenset({'Kickboxen'}),0.112,0.085,0.015,0.13392857142857142,1.57563025210084,1.0,0.005479999999999999,1.0564948453608247,0.4114114114114113,0.08241758241758242,0.05347384855581576,0.15519957983193278
frozenset({'Kickboxen'}),frozenset({'BodyPump'}),0.085,0.112,0.015,0.1764705882352941,1.57563025210084,1.0,0.005479999999999999,1.0782857142857143,0.399271402550091,0.08241758241758242,0.07260201377848434,0.15519957983193278
frozenset({'BodyBalance'}),frozenset({'Running'}),0.087,0.082,0.015,0.1724137931034483,2.1026072329688814,1.0,0.007866,1.10925,0.5743702081051478,0.09740259740259742,0.09848997070092405,0.17767031118587048
frozenset({'Running'}),frozenset({'BodyBalance'}),0.082,0.087,0.015,0.18292682926829268,2.1026072329688814,1.0,0.007866,1.1174029850746268,0.5712418300653594,0.09740259740259742,0.10506772099484411,0.17767031118587048
